NAME,fuelType,registrations,min_price,max_price,avg_price,med_price,frac_bev_nearby,frac_ice_nearby,frac_phev_nearby,frac_other_nearby,frac_nearby
MERCEDES C-KLASSE,PHEV,263,66527.0,134571.0,80525.37076023391,75464.0,0.16684878540808606,0.5345465243338657,0.29860469025804826,8.405480373203328e-05,0.29860469025804826
MERCEDES C-KLASSE,ICE,1114,48028.0,90815.0,63854.24660501289,64730.5,0.24485051979079228,0.5204580185531952,0.23469146165601257,4.304685650330385e-05,0.5204580185531952
MERCEDES CLA-KLASSE,PHEV,159,51021.0,64165.0,56577.22222222222,56444.5,0.269552972281695,0.5657609242308853,0.16468610348741972,0.0,0.16468610348741972
MERCEDES CLA-KLASSE,BEV,557,55859.0,77882.0,65240.75,64861.0,0.25407035175879394,0.5024008933556672,0.2435287548855388,4.4667783361250695e-05,0.25407035175879394
MERCEDES CLA-KLASSE,ICE,892,43286.0,87114.0,61062.30190416405,53529.5,0.30274632305089155,0.545893531172719,0.15136014577638943,0.0,0.545893531172719
MG ROEWE 5,BEV,2,35490.0,39990.0,37740.0,37740.0,0.16947757586842072,0.7760330254614812,0.05448939867009811,0.0,0.16947757586842072
NIO ET5,BEV,12,47500.0,68500.0,55750.0,53500.0,0.30421342477140484,0.5447449085619285,0.15104166666666666,0.0,0.30421342477140484
PEUGEOT 408,PHEV,166,47600.0,51800.0,49566.666666666664,49300.0,0.25254951678733084,0.6109832182297401,0.13646726498292908,0.0,0.13646726498292908
PEUGEOT 408,BEV,3,46700.0,50310.0,48505.0,48505.0,0.22861746361746363,0.6491164241164241,0.12226611226611227,0.0,0.22861746361746363
PEUGEOT 408,ICE,186,40970.0,45570.0,42936.666666666664,42270.0,0.170580334398592,0.7496410541429299,0.07977861145847807,0.0,0.7496410541429299
PEUGEOT 508,PHEV,4,52000.0,72100.0,59400.0,54100.0,0.29876796714579057,0.5420681303638183,0.1591639024903912,0.0,0.1591639024903912
POLESTAR 2,BEV,108,48990.0,66990.0,56415.0,54840.0,0.3091639933521432,0.5350494080057718,0.15578659864208505,0.0,0.3091639933521432
SKODA SUPERB,PHEV,301,50950.0,58850.0,55753.333333333336,57505.0,0.2637982321345495,0.5885412995361821,0.14766046832926846,0.0,0.14766046832926846
SKODA SUPERB,ICE,818,39900.0,59480.0,51802.625,52525.0,0.2925293543299201,0.5490699246426157,0.15840072102746414,0.0,0.5490699246426157
TESLA MODEL 3,BEV,754,39990.0,58490.0,48365.0,47490.0,0.21968660481422891,0.67077472316046,0.10953867202531105,0.0,0.21968660481422891
VOLVO 60,PHEV,206,59990.0,75890.0,69971.81818181818,71290.0,0.1841938390681841,0.5614925074258252,0.2543136535059907,6.674899042151987e-05,0.2543136535059907
VOLVO 60,ICE,139,48590.0,61690.0,54315.0,53490.0,0.30421342477140484,0.5447449085619285,0.15104166666666666,0.0,0.5447449085619285
VW ARTEON,ICE,2,43300.0,70875.0,58903.28947368421,54297.5,0.29875223754869956,0.5420922396546278,0.15915552279667264,0.0,0.5420922396546278
VW PASSAT,PHEV,844,53280.0,68245.0,61667.0,61915.0,0.28323152995927864,0.5335587550901687,0.18320971495055266,0.0,0.18320971495055266
VW PASSAT,ICE,1775,42540.0,64540.0,53137.26190476191,52010.0,0.30008190217808606,0.537982135087405,0.16193596273450897,0.0,0.537982135087405
AUDI A6,PHEV,618,65800.0,81950.0,74882.5,75890.0,0.17044478791001202,0.5281641765413018,0.30139103554868624,8.58663918942126e-05,0.30139103554868624
AUDI A6,BEV,869,62800.0,116795.0,96556.875,100262.5,0.4215214932126697,0.2791289592760181,0.2993495475113122,0.0,0.4215214932126697
AUDI A6,ICE,1029,55500.0,81370.0,67397.5,67397.5,0.25772283735274787,0.4781586531169422,0.2641185095303099,5.055867334041155e-05,0.4781586531169422
BMW 5ER,PHEV,629,65900.0,146400.0,81760.0,74050.0,0.12691946098401755,0.5955290922385877,0.27755144677739474,6.964030781016052e-05,0.27755144677739474
BMW 5ER,BEV,647,70200.0,101500.0,80142.85714285714,77600.0,0.17798036465638148,0.5214586255259467,0.3005610098176718,9.350163627863488e-05,0.17798036465638148
BMW 5ER,ICE,1003,59300.0,79200.0,67066.66666666666,67425.0,0.25772283735274787,0.4781586531169422,0.2641185095303099,5.055867334041155e-05,0.4781586531169422
LEXUS ES,ICE,7,54350.0,69200.0,60575.0,59375.0,0.26748758749487556,0.557689679780143,0.1748227327249814,0.0,0.557689679780143
MERCEDES CLE,PHEV,64,69734.0,75928.0,72202.2,71329.0,0.1841938390681841,0.5614925074258252,0.2543136535059907,6.674899042151987e-05,0.2543136535059907
MERCEDES CLE,ICE,413,54062.0,127431.0,79134.87851213283,70665.5,0.1752403922439783,0.5749103487670972,0.24984925898892452,6.346989940020944e-05,0.5749103487670972
MERCEDES E-KLASSE,PHEV,986,70091.0,142146.0,95853.64814814815,84764.0,0.18896198830409358,0.3668859649122807,0.44415204678362574,0.00014619883040935673,0.44415204678362574
MERCEDES E-KLASSE,BEV,391,67187.0,145924.0,95615.4,94813.5,0.3770792563600783,0.25391389432485323,0.3690068493150685,0.0,0.3770792563600783
MERCEDES E-KLASSE,ICE,1053,58905.0,101234.0,81027.166374269,76643.0,0.16504096761607492,0.5333159925434604,0.30164303984046476,8.670394936489357e-05,0.5333159925434604
SUBARU OUTBACK,ICE,63,46690.0,51790.0,49315.0,49390.0,0.24967066336213634,0.6133364592404046,0.13699287739745908,0.0,0.6133364592404046
TOYOTA CAMRY,ICE,1,38982.0,48590.0,43626.0,44190.0,0.1794929228931341,0.7431442193849797,0.07736285772188624,0.0,0.7431442193849797
TOYOTA MIRAI,Other,2,68490.0,77790.0,73665.0,74190.0,0.13693741077466376,0.5636035765271621,0.29945901269817415,7.51371252535878e-05,7.51371252535878e-05
VOLVO 90,PHEV,49,68990.0,83690.0,76452.34146341463,75800.0,0.17044478791001202,0.5281641765413018,0.30139103554868624,8.58663918942126e-05,0.30139103554868624
VOLVO 90,ICE,4,48600.0,77850.0,64072.42447916667,64562.25,0.25438109586868607,0.5294584093251923,0.21616049480612165,3.9647926413448574e-05,0.5294584093251923
VW ID.7,BEV,1717,54105.0,64065.0,59221.666666666664,59495.0,0.26382371254575,0.5613163849529971,0.1748599025012529,0.0,0.26382371254575
XPENG P7,BEV,13,49600.0,58600.0,54100.0,54100.0,0.29876796714579057,0.5420681303638183,0.1591639024903912,0.0,0.29876796714579057
