NAME,fuelType,min_price,max_price,avg_price,med_price
FERRARI SF90,Super Plus / Strom,440000,850000,634500.0,624000.0
FIAT 500,Strom,24990,37990,31061.428571428572,30990.0
FIAT 600,Strom,31490.0,36490.0,34365.0,34740.0
FIAT 600,Super,25490.0,31490.0,28561.428571428572,28490.0
FIAT DUCATO,Diesel,39865.0,54026.0,47662.63157894737,47600.0
FIAT DUCATO,Strom,64260.0,67473.0,65968.5,66164.0
FIAT GRANDE PANDA,Strom,24990.0,27990.0,26490.0,26490.0
FIAT GRANDE PANDA,Super,18990.0,24990.0,21823.333333333332,21490.0
FIAT PANDA,Strom,24990.0,27990.0,26490.0,26490.0
FIAT PANDA,Super,18990.0,24990.0,21823.333333333332,21490.0
FIAT SCUDO,Diesel,34629.0,47481.0,41601.0,42126.0
FIAT SCUDO,Strom,45577.0,56168.0,50872.5,50872.5
FIAT TIPO,Diesel,19990,20490,20240.0,20240.0
FIAT ULYSSE,Strom,62990,71990,67490.0,67490.0
FORD CAPRI,Strom,42400,59400,52066.666666666664,53400.0
FORD EXPLORER,Strom,39900,56900,49457.142857142855,48900.0
FORD FOCUS,Diesel,36100.0,39800.0,37964.28571428572,37975.0
FORD FOCUS,Super,32100.0,49850.0,36910.294117647056,35950.0
FORD KUGA,Super,39950.0,49600.0,45210.0,45400.0
FORD KUGA,Super / Strom,44100.0,54050.0,49813.333333333336,49350.0
FORD MUSTANG,Strom,56500.0,78000.0,65075.0,62900.0
FORD MUSTANG,Super,60400.0,76500.0,68350.0,68150.0
FORD MUSTANG MACH-E,Strom,56500,78000,65075.0,62900.0
FORD PUMA,Strom,36900.0,42400.0,39566.666666666664,39400.0
FORD PUMA,Super,28900.0,40950.0,34296.153846153844,33750.0
FORD TRANSIT,Diesel,24752.0,76815.0,53424.55982905983,53907.0
FORD TRANSIT,Strom,34784.0,83003.0,69834.46774193548,73649.0
FORD TRANSIT,Super,22075.0,29453.0,26077.727272727272,26359.0
FORD TRANSIT,Super / Strom,40877.0,73364.0,55915.78571428572,56614.5
FORD TRANSIT CONNECT,Diesel,31178.0,42364.0,36839.625,36950.0
FORD TRANSIT CONNECT,Super / Strom,40877.0,48374.0,44514.875,44392.0
FORD TRANSIT COURIER,Diesel,24752.0,28441.0,26775.0,26775.0
FORD TRANSIT COURIER,Strom,34784.0,36331.0,35557.5,35557.5
FORD TRANSIT COURIER,Super,22075.0,29453.0,26077.727272727272,26359.0
FORD TRANSIT CUSTOM,Diesel,42305.0,76815.0,53926.333333333336,53372.0
FORD TRANSIT CUSTOM,Strom,57953.0,83003.0,65435.375,63516.5
FORD TRANSIT CUSTOM,Super / Strom,53074.0,73364.0,60476.15,58370.0
"FORD TRANSIT, TOURNEO",Diesel,24752.0,76815.0,53424.55982905983,53907.0
"FORD TRANSIT, TOURNEO",Strom,34784.0,83003.0,69834.46774193548,73649.0
"FORD TRANSIT, TOURNEO",Super,22075.0,29453.0,26077.727272727272,26359.0
"FORD TRANSIT, TOURNEO",Super / Strom,40877.0,73364.0,55915.78571428572,56614.5
G70,Diesel,44980.0,51180.0,48252.5,48425.0
G70,Super,40280.0,53080.0,48298.0,49725.0
G80,Strom,75000,79100,77050.0,77050.0
G90,Super,112180,126180,118180.0,116180.0
GV60,Strom,54680,74480,62855.0,61130.0
GV70,Strom,69050,75300,72750.0,73900.0
GWM ORA 07,Strom,41990,53490,46656.666666666664,44490.0
GWM WEY 03,Super / Strom,47900,55900,51900.0,51900.0
GWM WEY 05,Super / Strom,59900,63900,61900.0,61900.0
HONDA CIVIC,Super / Strom,39500.0,44700.0,41733.333333333336,41000.0
HONDA CIVIC,Super Plus,58900.0,65900.0,62400.0,62400.0
HONDA CR-V,Super / Strom,49900,60800,55171.42857142857,55300.0
HONDA E:NY1,Strom,38990,41990,40490.0,40490.0
HONDA HR-V,Super / Strom,34700,41300,38880.0,40300.0
HONDA JAZZ,Super / Strom,26950,31100,29462.5,29900.0
HONDA ZR-V,Super / Strom,42900,47100,44866.666666666664,44600.0
HYUNDAI BAYON,Super,23400,30100,27000.0,27500.0
HYUNDAI G70,Diesel,44980.0,51180.0,48252.5,48425.0
HYUNDAI G70,Super,40280.0,53080.0,48298.0,49725.0
HYUNDAI G80,Strom,75000,79100,77050.0,77050.0
HYUNDAI G90,Super,112180,126180,118180.0,116180.0
HYUNDAI GV60,Strom,54680,74480,62855.0,61130.0
HYUNDAI GV70,Strom,69050,75300,72750.0,73900.0
HYUNDAI I 10,Super,16990,22190,19838.75,19575.0
HYUNDAI I 20,Super,20300,28000,24875.0,25650.0
